# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR 11cb0957eefdb540
# CUDA_DEVICE 0 GeForce GTX 480
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,blockSizeX,blockSizeY,blockSizeZ,staSmemPerBlock,registerPerThread,streamID,localblocksize,memTransferSize,memtransferhostmemtype,local_load,local_store,gld_request,gst_request,l2_subp0_write_sector_misses,l2_subp0_write_sector_queries,fb_subp0_read_sectors,shared_load,shared_store,sm_cta_launched,l1_local_load_hit,l2_subp1_write_sector_misses,l2_subp1_write_sector_queries,fb_subp1_read_sectors,branch,l1_local_load_miss,l1_local_store_hit,l2_subp0_read_sector_misses,l2_subp0_read_sector_queries,fb_subp0_write_sectors,divergent_branch,l1_local_store_miss,l1_global_load_hit,l2_subp1_read_sector_misses,l2_subp1_read_sector_queries,fb_subp1_write_sectors,inst_issued,l1_global_load_miss,inst_executed,uncached_global_load_transaction,global_store_transaction,warps_launched,threads_launched,l1_shared_bank_conflict,active_warps,active_cycles,tex0_cache_sector_queries,tex0_cache_sector_misses
11cb0dd71abd5960,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,155.072,10525.8,0.667,60,1,256,1,1,0,29,0,-1,,0,0,0,1984,64,7680,7680,3307,491520,1920,4,0,7680,7680,3316,25056,0,0,3463,372,7680,0,0,352,3348,132,7680,8964946,7666,8964776,0,256,32,1024,0,118637953,5133642,0,0
11cb0dd71c025aa0,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,155.136,9964.28,0.667,60,1,256,1,1,0,29,0,-1,,0,0,0,1984,64,7680,7680,3387,491520,1920,4,0,7680,7680,3416,25056,0,0,3439,144,7680,0,0,319,3372,144,7680,8964945,7611,8964776,0,256,32,1024,0,118666670,5133061,0,0
11cb0dd71d3c04e0,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,155.232,9895.2,0.667,60,1,256,1,1,0,29,0,-1,,0,0,0,1984,64,7680,7680,3423,491520,1920,4,0,7680,7680,3404,25056,0,0,3275,60,7680,0,0,320,3340,144,7680,8964929,7614,8964776,0,256,32,1024,0,118657270,5131634,0,0
11cb0dd71eb7aa20,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,155.36,9981.88,0.667,60,1,256,1,1,0,29,0,-1,,0,0,0,1984,64,7680,7680,3479,491520,1920,4,0,7680,7680,3420,25056,0,0,3419,168,7680,0,0,290,3380,180,7680,8964969,7616,8964776,0,256,32,1024,0,118712439,5132054,0,0
11cb0dd71fdd0560,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,155.104,9917.48,0.667,60,1,256,1,1,0,29,0,-1,,0,0,0,1984,64,7680,7680,3507,491520,1920,4,0,7680,7680,3204,25056,0,0,3427,144,7680,0,0,290,3256,132,7680,8964954,7618,8964776,0,256,32,1024,0,118661616,5132557,0,0
11cb0dd720f98480,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,155.04,9948.8,0.667,60,1,256,1,1,0,29,0,-1,,0,0,0,1984,64,7680,7680,3403,491520,1920,4,0,7680,7680,3304,25056,0,0,3395,192,7680,0,0,302,3328,120,7680,8964935,7644,8964776,0,256,32,1024,0,118631020,5134212,0,0
11cb0dd722366960,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,155.2,9951.16,0.667,60,1,256,1,1,0,29,0,-1,,0,0,0,1984,64,7680,7680,3471,491520,1920,4,0,7680,7680,3300,25056,0,0,3535,204,7680,0,0,326,3236,84,7680,8964956,7616,8964776,0,256,32,1024,0,118664388,5133275,0,0
11cb0dd723906f00,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,155.104,10035.9,0.667,60,1,256,1,1,0,29,0,-1,,0,0,0,1984,64,7680,7680,3515,491520,1920,4,0,7680,7680,3372,25056,0,0,3455,108,7680,0,0,314,3428,96,7680,8964959,7620,8964776,0,256,32,1024,0,118686187,5132303,0,0
11cb0dd72556d060,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,155.52,9891.24,0.667,60,1,256,1,1,0,29,0,-1,,0,0,0,1984,64,7680,7680,3491,491520,1920,4,0,7680,7680,3348,25056,0,0,3431,120,7680,0,0,320,3384,60,7680,8964941,7615,8964776,0,256,32,1024,0,118612224,5134036,0,0
11cb0dd7272d9d80,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,155.136,10009.6,0.667,60,1,256,1,1,0,29,0,-1,,0,0,0,1984,64,7680,7680,3431,491520,1920,4,0,7680,7680,3416,25056,0,0,3407,60,7680,0,0,290,3404,216,7680,8964960,7630,8964776,0,256,32,1024,0,118639657,5133785,0,0
